ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0404785354;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0
0404795549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404801388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404803665;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0
0404805051;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
0404812177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404812870;0;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0;0
0404816038;0;0;0;0;0;1;0;0;0;0;36;2;7;2;1;0;0
0404826431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404837814;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
0404840584;0;0;0;0;4;4;0;0;0;0;0;0;21;0;0;0;0
0404850185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404850383;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404852363;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0404859390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404876020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404877901;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
0404880077;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0
0404881364;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0
0404891460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
0404896212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404897497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404900962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404901655;0;0;0;0;1;3;0;0;0;0;0;0;1;1;0;0;0
0404902546;0;0;6;4;0;1;0;0;0;0;0;0;0;1;0;0;0
0404907395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404913929;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
0404914523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404915117;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;0;0
0404918085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404918679;0;0;0;0;7;1;0;0;0;0;0;0;2;0;0;0;0
0404922936;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0
0404928577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404928775;0;0;0;0;0;5;1;0;0;0;0;0;7;0;0;0;0
0404932537;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
0404935804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
