ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0401327008;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
0401327206;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
0401328293;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0401329085;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
0401329382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401333639;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0401334035;0;0;0;0;1;2;0;0;1;0;0;0;1;1;0;0;0
0401334134;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0
0401334629;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0401336114;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
0401339478;0;0;0;0;0;1;1;0;2;0;2;3;1;1;1;0;0
0401339577;1;0;0;1;0;2;1;0;0;0;0;0;4;1;0;0;0
0401340765;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0401342151;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
0401343933;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0401345121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401348485;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
0401350564;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
0401358977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401359868;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0401363828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401364026;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
0401546445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0401889410;0;0;0;0;0;1;0;0;0;0;0;3;1;3;0;2;0
0401906236;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0401955033;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0401956815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402043323;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0402056882;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0402135274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402141214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402166453;0;0;0;0;0;1;1;0;0;0;2;0;1;0;0;0;0
0402185952;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0
0402195256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402247617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402531786;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0402610970;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0
0402777157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402835951;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0402851787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402867427;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
0402871682;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
0402903653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402915333;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0
0402917511;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
0402942453;0;0;1;0;0;2;1;0;0;0;0;0;2;0;1;0;0
0402980659;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0402981847;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0
0403020350;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403040245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403060140;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403086468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403113489;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403419634;0;0;0;2;1;1;1;0;0;0;0;0;2;0;0;1;0
0403449823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403470906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403471005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403476547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403495353;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0403506340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403613337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403613634;0;0;1;1;0;1;2;0;1;0;0;0;1;0;0;0;0
0403618780;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0
0403621057;0;0;0;0;1;2;0;0;0;0;0;0;2;1;0;0;0
0403629965;0;0;1;1;1;3;0;0;0;0;0;0;3;0;0;1;0
0403630460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403634222;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0
0403646001;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
0403648771;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0403649563;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
0403650355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403652731;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
0403656986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403661144;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0403664114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403671834;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0403674804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403676881;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0403681336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403699251;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
0403700043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403705486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403709149;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0
0403713307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403717562;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403718156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403720136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403722908;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
0403729143;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403730232;0;0;1;2;1;1;1;0;0;0;2;0;0;0;0;1;0
0403730628;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0403745177;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
0403755471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403755966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403761510;1;0;0;1;2;3;0;0;0;0;0;0;2;0;0;0;0
0403763686;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
0403765468;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0403767052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403770715;0;0;0;0;1;1;0;0;1;0;2;3;7;1;0;0;0
0403771408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403771705;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0403772396;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0
0403774178;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0
0403776158;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0403793578;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0403802585;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403803773;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0403805159;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
0403812879;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0
0403814364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403819809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403822975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403827529;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403833962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403848513;0;0;0;2;0;0;1;0;0;1;0;1;2;2;0;0;0
0403855837;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0
0403857520;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0403857619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403862369;0;0;0;0;3;1;0;0;1;0;0;0;1;0;0;0;0
0403871970;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
0403872762;1;0;0;1;1;1;0;0;0;0;2;0;2;0;0;0;0
0403873851;0;0;0;1;0;3;2;0;0;0;0;0;0;0;1;0;0
0403877811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403990548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404012819;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0404016678;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
0404022420;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0404030833;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0404031922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404036573;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404040533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404045976;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404046075;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0
0404056765;0;0;0;0;0;1;0;0;0;0;0;1;2;1;1;0;0
0404059438;1;0;0;0;3;2;0;0;0;0;0;3;4;1;1;0;0
0404069039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404069138;0;0;0;0;0;1;0;0;0;0;0;2;1;4;0;0;0
0404069336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404071316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404076363;1;0;0;0;1;3;0;1;0;0;0;0;0;1;0;0;0
0404078640;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0404085172;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404085766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404087647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404094872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404114866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404116549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404121103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404125358;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0404130506;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0404138226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404139513;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
