ondnr, ,perc, ,score
404291743,    ,9.0,    ,D
404295109,    ,5.0,    ,D
404297978,    ,9.0,    ,D
404298077,    ,10.0,    ,D
404308173,    ,6.0,    ,D
404308965,    ,11.0,    ,D
404311638,    ,10.0,    ,D
404312034,    ,23.0,    ,D
404313816,    ,13.0,    ,D
404319655,    ,0.0,    ,D
404322724,    ,13.0,    ,D
404326880,    ,7.0,    ,D
404327573,    ,15.0,    ,D
404333018,    ,6.0,    ,D
404400522,    ,12.0,    ,D
404425563,    ,9.0,    ,D
404453475,    ,17.0,    ,D
404458128,    ,8.0,    ,D
404466739,    ,8.0,    ,D
404484060,    ,5.0,    ,D
404513556,    ,6.0,    ,D
404521078,    ,11.0,    ,D
404525434,    ,8.0,    ,D
404527216,    ,9.0,    ,D
404527810,    ,6.0,    ,D
404532263,    ,9.0,    ,D
404532362,    ,6.0,    ,D
404536619,    ,0.0,    ,D
404538696,    ,12.0,    ,D
404542062,    ,6.0,    ,D
404549287,    ,6.0,    ,D
404554633,    ,5.0,    ,D
404558195,    ,1.0,    ,D
404560769,    ,7.0,    ,D
404578981,    ,4.0,    ,D
404599569,    ,11.0,    ,D
404605707,    ,5.0,    ,D
404615605,    ,10.0,    ,D
404616494,    ,13.0,    ,D
404618276,    ,9.0,    ,D
404623226,    ,11.0,    ,D
404624414,    ,10.0,    ,D
404625305,    ,6.0,    ,D
404625602,    ,8.0,    ,D
404631540,    ,5.0,    ,D
404635203,    ,5.0,    ,D
404639557,    ,5.0,    ,D
404655096,    ,5.0,    ,D
404664303,    ,10.0,    ,D
404667766,    ,5.0,    ,D
404668261,    ,6.0,    ,D
404697064,    ,9.0,    ,D
404697559,    ,15.0,    ,D
404700628,    ,9.0,    ,D
404703497,    ,5.0,    ,D
404721018,    ,7.0,    ,D
404752888,    ,8.0,    ,D
404754373,    ,11.0,    ,D
404758630,    ,5.0,    ,D
404763677,    ,8.0,    ,D
404765360,    ,13.0,    ,D
404777139,    ,8.0,    ,D
404778426,    ,9.0,    ,D
404780604,    ,5.0,    ,D
404782186,    ,6.0,    ,D
404782384,    ,20.0,    ,D
404784958,    ,6.0,    ,D
404785354,    ,8.0,    ,D
404795549,    ,8.0,    ,D
404800202,    ,9.0,    ,D
404801388,    ,7.0,    ,D
404803665,    ,8.0,    ,D
404805051,    ,11.0,    ,D
404809506,    ,15.0,    ,D
404812177,    ,5.0,    ,D
404812870,    ,13.0,    ,D
404814058,    ,3.0,    ,D
404816038,    ,15.0,    ,D
404817523,    ,5.0,    ,D
404826431,    ,8.0,    ,D
404837814,    ,9.0,    ,D
404840584,    ,8.0,    ,D
404850185,    ,5.0,    ,D
404850383,    ,7.0,    ,D
404852363,    ,19.0,    ,D
404859390,    ,5.0,    ,D
404876020,    ,5.0,    ,D
404877901,    ,11.0,    ,D
404881364,    ,7.0,    ,D
404891460,    ,6.0,    ,D
404891559,    ,8.0,    ,D
404896212,    ,5.0,    ,D
404897497,    ,5.0,    ,D
404900962,    ,16.0,    ,D
404901655,    ,10.0,    ,D
404902546,    ,10.0,    ,D
404907395,    ,5.0,    ,D
404913929,    ,9.0,    ,D
404914523,    ,7.0,    ,D
404915117,    ,9.0,    ,D
404918085,    ,6.0,    ,D
404918679,    ,5.0,    ,D
404922936,    ,9.0,    ,D
404928577,    ,5.0,    ,D
404928775,    ,15.0,    ,D
404932537,    ,15.0,    ,D
404935804,    ,12.0,    ,D
404943722,    ,15.0,    ,D
404944613,    ,2.0,    ,D
404944712,    ,3.0,    ,D
404945108,    ,15.0,    ,D
404946690,    ,5.0,    ,D
404948868,    ,6.0,    ,D
404952234,    ,5.0,    ,D
404956192,    ,8.0,    ,D
404959954,    ,5.0,    ,D
404966189,    ,5.0,    ,D
404967278,    ,8.0,    ,D
404974802,    ,5.0,    ,D
404977176,    ,0.0,    ,D
404982621,    ,12.0,    ,D
404985787,    ,12.0,    ,D
404985985,    ,6.0,    ,D
404990143,    ,7.0,    ,D
404996081,    ,9.0,    ,D
405019045,    ,8.0,    ,D
405019639,    ,5.0,    ,D
405026765,    ,8.0,    ,D
405030131,    ,5.0,    ,D
405031913,    ,8.0,    ,D
405033101,    ,9.0,    ,D
405034881,    ,6.0,    ,D
405035475,    ,12.0,    ,D
405037752,    ,7.0,    ,D
405041019,    ,5.0,    ,D
405043294,    ,7.0,    ,D
405043690,    ,13.0,    ,D
405056855,    ,5.0,    ,D
405061310,    ,9.0,    ,D
405069723,    ,5.0,    ,D
405069822,    ,5.0,    ,D
405070119,    ,6.0,    ,D
405071802,    ,6.0,    ,D
405075463,    ,12.0,    ,D
405078532,    ,6.0,    ,D
405079225,    ,9.0,    ,D
405081007,    ,6.0,    ,D
405084965,    ,10.0,    ,D
405085163,    ,14.0,    ,D
405085262,    ,10.0,    ,D
405085460,    ,8.0,    ,D
405100407,    ,9.0,    ,D
405105355,    ,10.0,    ,D
405229178,    ,7.0,    ,D
405255310,    ,14.0,    ,D
405415161,    ,6.0,    ,D
405433670,    ,8.0,    ,D
405595996,    ,8.0,    ,D
405608765,    ,7.0,    ,D
405615297,    ,10.0,    ,D
405704181,    ,2.0,    ,D
405705864,    ,6.0,    ,D
405706755,    ,8.0,    ,D
405710022,    ,10.0,    ,D
405713386,    ,7.0,    ,D
405714970,    ,7.0,    ,D
405742090,    ,16.0,    ,D
405746743,    ,4.0,    ,D
405755651,    ,5.0,    ,D
405790788,    ,17.0,    ,D
405791778,    ,15.0,    ,D
405792273,    ,2.0,    ,D
405793857,    ,9.0,    ,D
405794055,    ,8.0,    ,D
405795045,    ,14.0,    ,D
405800686,    ,16.0,    ,D
405801082,    ,7.0,    ,D
405845822,    ,9.0,    ,D
405855027,    ,5.0,    ,D
405873140,    ,7.0,    ,D
405891946,    ,22.0,    ,D
405940545,    ,4.0,    ,D
405986570,    ,14.0,    ,D
405987857,    ,10.0,    ,D
405993993,    ,11.0,    ,D
405997458,    ,7.0,    ,D
405998646,    ,8.0,    ,D
405999438,    ,12.0,    ,D
406004386,    ,14.0,    ,D
406017749,    ,4.0,    ,D
406019333,    ,6.0,    ,D
406037545,    ,8.0,    ,D
406041307,    ,18.0,    ,D
406044275,    ,7.0,    ,D
406047344,    ,15.0,    ,D
406055460,    ,2.0,    ,D
406056945,    ,6.0,    ,D
406057836,    ,7.0,    ,D
406067041,    ,8.0,    ,D
406076246,    ,15.0,    ,D
406078325,    ,13.0,    ,D
406085451,    ,6.0,    ,D
406088520,    ,10.0,    ,D
406096834,    ,7.0,    ,D
406101683,    ,4.0,    ,D
406114254,    ,20.0,    ,D
406115244,    ,5.0,    ,D
406119994,    ,12.0,    ,D
406122172,    ,10.0,    ,D
406125241,    ,12.0,    ,D
406134644,    ,10.0,    ,D
406164140,    ,5.0,    ,D
406165526,    ,7.0,    ,D
406175424,    ,10.0,    ,D
406194329,    ,7.0,    ,D
406207591,    ,5.0,    ,D
406208977,    ,8.0,    ,D
406211254,    ,5.0,    ,D
406215709,    ,7.0,    ,D
406229268,    ,6.0,    ,D
406233525,    ,9.0,    ,D
406246490,    ,8.0,    ,D
406258071,    ,10.0,    ,D
406273315,    ,10.0,    ,D
406325674,    ,22.0,    ,D
406329733,    ,5.0,    ,D
406347549,    ,5.0,    ,D
406353289,    ,16.0,    ,D
406371503,    ,8.0,    ,D
406383082,    ,5.0,    ,D
406392584,    ,6.0,    ,D
406393475,    ,10.0,    ,D
406397831,    ,5.0,    ,D
406428317,    ,7.0,    ,D
406435245,    ,8.0,    ,D
406435344,    ,6.0,    ,D
406440985,    ,5.0,    ,D
406443955,    ,12.0,    ,D
406456526,    ,16.0,    ,D
406472560,    ,11.0,    ,D
406484636,    ,14.0,    ,D
406486418,    ,5.0,    ,D
406493940,    ,6.0,    ,D
406498888,    ,5.0,    ,D
406501561,    ,14.0,    ,D
406536106,    ,15.0,    ,D
406550061,    ,12.0,    ,D
406576092,    ,7.0,    ,D
406585002,    ,15.0,    ,D
406595591,    ,11.0,    ,D
406633007,    ,24.0,    ,D
406674478,    ,10.0,    ,D
406685465,    ,10.0,    ,D
406699323,    ,5.0,    ,D
406726146,    ,9.0,    ,D
406727136,    ,7.0,    ,D
406749704,    ,5.0,    ,D
406750692,    ,10.0,    ,D
406761382,    ,6.0,    ,D
406766926,    ,6.0,    ,D
406770686,    ,20.0,    ,D
406781475,    ,15.0,    ,D
406783257,    ,6.0,    ,D
406783851,    ,11.0,    ,D
406790680,    ,10.0,    ,D
406791175,    ,5.0,    ,D
406792363,    ,8.0,    ,D
406801568,    ,6.0,    ,D
406804241,    ,14.0,    ,D
406809387,    ,13.0,    ,D
406812654,    ,7.0,    ,D
406813545,    ,24.0,    ,D
406814139,    ,7.0,    ,D
406815228,    ,6.0,    ,D
406822354,    ,7.0,    ,D
406824037,    ,9.0,    ,D
406853335,    ,7.0,    ,D
406859867,    ,6.0,    ,D
406867983,    ,10.0,    ,D
406873923,    ,7.0,    ,D
406878079,    ,6.0,    ,D
406881346,    ,7.0,    ,D
406882138,    ,14.0,    ,D
406882930,    ,7.0,    ,D
406883821,    ,15.0,    ,D
406883920,    ,9.0,    ,D
406907872,    ,11.0,    ,D
406910149,    ,14.0,    ,D
406921037,    ,6.0,    ,D
406921532,    ,5.0,    ,D
406933509,    ,6.0,    ,D
406940338,    ,11.0,    ,D
406946672,    ,6.0,    ,D
406963302,    ,3.0,    ,D
406970725,    ,15.0,    ,D
406983195,    ,14.0,    ,D
406995469,    ,5.0,    ,D
407002694,    ,5.0,    ,D
407004971,    ,15.0,    ,D
407037833,    ,16.0,    ,D
407040308,    ,15.0,    ,D
407044959,    ,9.0,    ,D
407048226,    ,12.0,    ,D
407056243,    ,5.0,    ,D
407057530,    ,6.0,    ,D
407083759,    ,7.0,    ,D
407089402,    ,7.0,    ,D
407106030,    ,8.0,    ,D
407125331,    ,5.0,    ,D
407132457,    ,5.0,    ,D
407138494,    ,6.0,    ,D
407139583,    ,6.0,    ,D
407153936,    ,5.0,    ,D
407154629,    ,10.0,    ,D
407163537,    ,15.0,    ,D
407176306,    ,8.0,    ,D
407184323,    ,6.0,    ,D
407188281,    ,6.0,    ,D
407189370,    ,5.0,    ,D
407201941,    ,5.0,    ,D
407208275,    ,7.0,    ,D
407219460,    ,7.0,    ,D
407226091,    ,6.0,    ,D
407237771,    ,15.0,    ,D
407239949,    ,5.0,    ,D
407249055,    ,6.0,    ,D
407250540,    ,10.0,    ,D
407252916,    ,0.0,    ,D
407419202,    ,10.0,    ,D
407547181,    ,10.0,    ,D
407560742,    ,7.0,    ,D
407579647,    ,7.0,    ,D
407604490,    ,12.0,    ,D
407611816,    ,6.0,    ,D
407614388,    ,6.0,    ,D
407625771,    ,2.0,    ,D
407626860,    ,8.0,    ,D
407626959,    ,10.0,    ,D
407632206,    ,5.0,    ,D
407647547,    ,9.0,    ,D
407653980,    ,15.0,    ,D
407661108,    ,7.0,    ,D
407683674,    ,6.0,    ,D
407687436,    ,9.0,    ,D
407689119,    ,14.0,    ,D
407693770,    ,10.0,    ,D
407705450,    ,8.0,    ,D
407708618,    ,5.0,    ,D
407717031,    ,5.0,    ,D
407728414,    ,7.0,    ,D
407756425,    ,5.0,    ,D
407758504,    ,9.0,    ,D
407766422,    ,5.0,    ,D
407818583,    ,8.0,    ,D
407827293,    ,8.0,    ,D
407860749,    ,4.0,    ,D
407866588,    ,11.0,    ,D
407872231,    ,15.0,    ,D
407880941,    ,7.0,    ,D
407884802,    ,15.0,    ,D
407885394,    ,20.0,    ,D
407925778,    ,5.0,    ,D
407933104,    ,21.0,    ,D
407974971,    ,8.0,    ,D
408020404,    ,7.0,    ,D
408032874,    ,14.0,    ,D
408050195,    ,5.0,    ,D
408053660,    ,9.0,    ,D
408055046,    ,18.0,    ,D
408064350,    ,7.0,    ,D
408065835,    ,5.0,    ,D
408065934,    ,10.0,    ,D
408076228,    ,10.0,    ,D
408080285,    ,7.0,    ,D
408109880,    ,15.0,    ,D
408128488,    ,7.0,    ,D
408192925,    ,5.0,    ,D
408223906,    ,16.0,    ,D
408224993,    ,6.0,    ,D
408250036,    ,6.0,    ,D
408286856,    ,7.0,    ,D
408306553,    ,7.0,    ,D
408337633,    ,8.0,    ,D
408341987,    ,4.0,    ,D
408350895,    ,6.0,    ,D
408351984,    ,21.0,    ,D
408375344,    ,5.0,    ,D
408389004,    ,13.0,    ,D
408394645,    ,10.0,    ,D
408403256,    ,10.0,    ,D
408490160,    ,6.0,    ,D
408499464,    ,6.0,    ,D
408516488,    ,7.0,    ,D
408590922,    ,16.0,    ,D
409054344,    ,13.0,    ,D
409423736,    ,20.0,    ,D
409450856,    ,16.0,    ,D
409671085,    ,20.0,    ,D
409698603,    ,6.0,    ,D
410006132,    ,6.0,    ,D
410048989,    ,7.0,    ,D
410151137,    ,5.0,    ,D
410195380,    ,7.0,    ,D
410353154,    ,12.0,    ,D
410412146,    ,9.0,    ,D
410509443,    ,5.0,    ,D
410677907,    ,9.0,    ,D
410682657,    ,19.0,    ,D
410797275,    ,16.0,    ,D
410811826,    ,5.0,    ,D
411031560,    ,13.0,    ,D
411062838,    ,5.0,    ,D
411106091,    ,14.0,    ,D
411107873,    ,13.0,    ,D
411111437,    ,0.0,    ,D
411507058,    ,1.0,    ,D
411516758,    ,5.0,    ,D
