ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
478728256;76;3813275.0;9811487;Nee;None;Rust
440017734;9;3795185.0;3431136;Nee;None;Arbeidsbureaus
421718683;20;3769339.0;2376846;Nee;None;Vervaardiging van bouten, schroeven en moeren
472540745;0;0.0;0;Nee;0;Groothandel in computers, randapparatuur en software
431067802;206;3762061.0;18399206;Nee;None;Andere vormen van maatschappelijke dienstverlening zonder huisvesting, n.e.g.
578904710;16;4269073.0;2265423;Nee;None;Detailhandel in dames
439097917;38;3733328.0;5220399;Nee;None;Reisbureaus
446364997;11;3733025.0;50820914;Nee;None;Beroepsopleiding
811718665;12;3732744.0;1314793;Nee;None;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
466455677;6;3732323.0;4929252;Nee;None;Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg
588976179;16;3726183.0;1036455;Nee;None;Eetgelegenheden met beperkte bediening
452821140;41;3714044.0;2189886;Nee;None;Vervaardiging van artikelen van draad en van kettingen en veren
446524949;16;3704197.0;2168818;Nee;None;Groothandel in andere machines en werktuigen, n.e.g.
447461889;28;3701283.0;1290882;Nee;None;Detailhandel in tweedehandskleding in winkels
471715948;14;3696590.0;3560925;Nee;None;Groothandel in computers, randapparatuur en software
424133488;28;3985362.0;7049946;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
644722574;8;3634191.0;2022517;Nee;None;Groothandel in andere machines en werktuigen, n.e.g.
824175544;60;3620776.0;1213197;Nee;None;Rusthuizen voor ouderen (R.O.B.)
427257581;2;3619033.0;5404470;Nee;None;Bouw van civieltechnische werken voor elektriciteit en telecommunicatie
472661994;37;3606898.0;816612;Nee;None;Computerconsultancy
808165002;49;3601527.0;6520786;Nee;None;Activiteiten van sportbonden en
673942340;60;3599737.0;1299060;Nee;None;Serviceflats voor ouderen
899130117;60;5068445.0;98868994;Nee;None;Groothandel in levend vee
607976994;0;0.0;0;Nee;0;Groothandel in computers, randapparatuur en software
429244695;7;3576715.0;1227788;Nee;None;Groothandel in andere machines en werktuigen
442185089;14;3572056.0;21905671;Nee;None;Verhuur en exploitatie van eigen of geleasd onroerend goed
413116466;80;3527605.0;3011096;Nee;None;Kinderdagverblijven en crï¿½ches
